score,deciles
0.26019454,8
0.2831046,8
0.064557485,1
0.11702779,4
0.06670497,1
0.5919861,10
0.3177929,9
0.570545,10
0.15627876,6
0.14644986,5
0.20180649,7
0.08135747,2
0.15063415,6
0.11738142,4
0.103706315,4
0.19544564,7
0.41566432,9
0.0711532,2
0.1059777,4
0.15735056,6
0.17933011,7
0.55462515,10
0.18691365,7
0.097069785,3
0.39405543,9
0.13655853,5
0.071994655,2
0.07311838,2
0.55737317,10
0.108212166,4
0.19464675,7
0.06436279,1
0.1363099,5
0.15005983,5
0.20569542,7
0.12043536,4
0.2070367,7
0.13729988,5
0.16668005,6
0.29757717,9
0.07100678,2
0.16138306,6
0.11986575,4
0.05969324,1
0.08985309,3
0.08309918,2
0.21753226,7
0.06418158,1
0.12009092,4
0.07162349,2
0.23600662,8
0.48200616,10
0.07612981,2
0.16825476,6
0.06718779,1
0.16898444,6
0.5903013,10
0.39703125,9
0.09912952,3
0.0974144,3
0.067585975,1
0.20990269,7
0.196185,7
0.13304009,5
0.116054185,4
0.08930491,3
0.09452187,3
0.060940955,1
0.16796835,6
0.21591683,7
0.061873827,1
0.15916231,6
0.3711501,9
0.21318427,7
0.20665763,7
0.23200016,8
0.20559712,7
0.06798441,1
0.116603255,4
0.26463354,8
0.24912485,8
0.13377438,5
0.12949395,5
0.1781072,7
0.21992025,8
0.07330277,2
0.122220285,5
0.31781995,9
0.08887175,3
0.23892154,8
0.1721356,6
0.29332092,9
0.09853287,3
0.5259485,10
0.104968786,4
0.26587483,8
0.30460432,9
0.084807955,2
0.45857155,10
0.15348417,6
0.1518089,6
0.12638329,5
0.14202745,5
0.16989118,6
0.39705154,9
0.06677607,1
0.4701581,10
0.5861096,10
0.07292592,2
0.12199746,5
0.07122274,2
0.599386,10
0.061873827,1
0.41474116,9
0.2068931,7
0.34636343,9
0.5516048,10
0.122039065,5
0.5868068,10
0.54982924,10
0.09927783,3
0.15840147,6
0.09246858,3
0.10041479,3
0.08625475,3
0.6145025,10
0.6058075,10
0.093633726,3
0.18414558,7
0.41939735,9
0.12013141,4
0.37095746,9
0.15376294,6
0.15864232,6
0.22018543,8
0.23084581,8
0.27261895,8
0.060630493,1
0.36723846,9
0.08504551,2
0.09024111,3
0.08781844,3
0.08144315,2
0.114003584,4
0.08172296,2
0.21554726,7
0.5478928,10
0.13587919,5
0.14844428,5
0.20747349,7
0.13185884,5
0.3152385,9
0.10683325,4
0.15005983,5
0.14707813,5
0.25780687,8
0.1720116,6
0.06465428,1
0.116596356,4
0.301344,9
0.09485225,3
0.29489407,9
0.13459617,5
0.23843844,8
0.15348417,6
0.55840135,10
0.17294928,6
0.06838116,1
0.07163877,2
0.521012,10
0.06456849,1
0.15450676,6
0.31598857,9
0.11775047,4
0.105917305,4
0.14886501,5
0.16209866,6
0.22102682,8
0.15778399,6
0.11205853,4
0.103035584,4
0.07206211,2
0.082416706,2
0.06089529,1
0.083212264,2
0.13887906,5
0.12416551,5
0.37015116,9
0.11866461,4
0.22664154,8
0.28749856,8
0.28332844,8
0.070949905,2
0.120939575,4
0.1619534,6
0.11645097,4
0.06322558,1
0.16662855,6
0.26578835,8
0.10883469,4
0.11684407,4
0.097800694,3
0.21625073,7
0.18205675,7
0.11372953,4
0.13382755,5
0.09263484,3
0.08304851,2
0.16463737,6
0.15450676,6
0.6001491,10
0.17712158,7
0.07612981,2
0.06160505,1
0.15430099,6
0.20747349,7
0.22012177,8
0.37244284,9
0.061330162,1
0.42707425,9
0.12043536,4
0.13791321,5
0.29330117,9
0.12492212,5
0.11032095,4
0.06160505,1
0.08655979,3
0.13064809,5
0.12761398,5
0.07272688,2
0.54769474,10
0.23385988,8
0.11832607,4
0.42893174,9
0.1659341,6
0.08466585,2
0.0837313,2
0.15735297,6
0.08269537,2
0.21779643,7
0.12112226,4
0.22887716,8
0.0672335,1
0.1862646,7
0.11999112,4
0.062146727,1
0.13261324,5
0.13277447,5
0.120530285,4
0.20747349,7
0.16760604,6
0.098327205,3
0.114451095,4
0.20408574,7
0.3997967,9
0.2177977,7
0.08720949,3
0.18659352,7
0.2645917,8
0.07028311,1
0.24872932,8
0.0988603,3
0.09548477,3
0.07202496,2
0.084060796,2
0.39848167,9
0.09309774,3
0.071292624,2
0.15597367,6
0.18716606,7
0.38183236,9
0.60783017,10
0.43121952,9
0.29713747,9
0.39875883,9
0.15686002,6
0.0672335,1
0.48637626,10
0.13453491,5
0.070873454,1
0.21806952,7
0.060630493,1
0.07162349,2
0.13518174,5
0.14707817,5
0.10980275,4
0.1707898,6
0.061873827,1
0.35102168,9
0.17375325,6
0.18199308,7
0.1267956,5
0.11581813,4
0.18219537,7
0.1721356,6
0.20423338,7
0.08996477,3
0.15430099,6
0.09112265,3
0.06911995,1
0.13010998,5
0.060630493,1
0.21980219,8
0.07162349,2
0.12719,5
0.18224353,7
0.24685605,8
0.29376093,9
0.061836872,1
0.6167653,10
0.20268616,7
0.1362905,5
0.5519652,10
0.079382196,2
0.20448911,7
0.10476983,4
0.0707208,1
0.5770272,10
0.23237956,8
0.26257512,8
0.060801987,1
0.14155683,5
0.17608681,7
0.16254781,6
0.08880731,3
0.3587551,9
0.06160505,1
0.17886992,7
0.16649073,6
0.16680942,6
0.3435566,9
0.07082434,1
0.40688148,9
0.6056469,10
0.1000016,3
0.067585975,1
0.2936589,9
0.2191168,7
0.08757014,3
0.07308517,2
0.55759925,10
0.2018264,7
0.23186724,8
0.32381612,9
0.06086663,1
0.06119838,1
0.108155094,4
0.15597367,6
0.11255513,4
0.09926016,3
0.17940924,7
0.0979605,3
0.5859923,10
0.33610252,9
0.55920506,10
0.15005983,5
